ordinal,id,name,start_date,end_date,replaces,replaced_by
1,Q8017561,William Richmond,1858-08-27,1860-11-10,,Q328269
2,Q328269,Frederick Weld,1860-11-10,1861-07-12,Q8017561,Q4017961
3,Q4017961,Walter Mantell,1861-07-12,1861-12-18,Q328269,Q5276925
4,Q5276925,Dillon Bell,1861-12-18,1863-10-30,Q4017961,Q1356502
5,Q1356502,William Fox (politician),1861-12-18,1863-10-30,Q5276925,Q4017961
,Q4017961,Walter Mantell,1863-10-30,1865-07-27,Q1356502,Q6133918
6,Q6133918,James FitzGerald (New Zealand politician),1865-07-27,1865-10-16,Q4017961,Q4758450
7,Q4758450,Andrew Russell (New Zealand politician),1865-10-16,1866-08-24,Q6133918,Q6131984
8,Q6131984,James Crowe Richmond,1866-08-24,1869-06-28,Q4758450,Q5294853
9,Q5294853,Donald McLean (New Zealand politician),1869-06-28,1876-12-07,Q6131984,Q640543
10,Q640543,Daniel Pollen,1876-12-18,1877-10-13,Q5294853,Q6257540
11,Q6257540,John Sheehan (New Zealand politician),1877-10-15,1879-10-08,Q640543,Q6223688
12,Q6223688,John Bryce,1879-10-08,1881-01-21,Q6257540,Q8017737
13,Q8017737,William Rolleston,1881-02-04,1881-10-19,Q6223688,Q6223688
,Q6223688,John Bryce,1881-10-19,1884-08-16,Q8017737,Q980417
14,Q980417,John Ballance,18843-08-16,18848-08-28,Q6223688,Q5346666
15,Q5346666,Edwin Mitchelson,1887-10-08,1891-01-24,Q980417,Q980417
,Q980417,John Ballance,1891-01-24,1891-02-04,Q5346666,Q4722414
16,Q4722414,Alfred Cadman,1891-02-04,1893-06-29,Q980417,Q559640
17,Q559640,Richard Seddon,1893-06-29,1899-12-21,Q4722414,Q4251161
18,Q4251161,James Carroll (New Zealand politician),1899-12-21,1912-03-28,Q559640,Q8007894
19,Q8007894,William MacDonald (New Zealand politician),1912-03-28,1912-07-10,Q4251161,Q8012271
20,Q8012271,William Herries,1912-07-10,1921-02-07,Q8007894,Q731342
21,Q731342,Gordon Coates,1921-02-07,1928-12-10,Q8012271,Q618651
22,Q618651,Āpirana Ngata,1928-12-10,1934-11-01,Q731342,Q775773
23,Q775773,George Forbes (New Zealand politician),1934-11-01,1935-12-06,Q618651,Q1371015
24,Q1371015,Michael Joseph Savage,1935-12-06,1940-03-27,Q775773,Q5487850
25,Q5487850,Frank Langstone,1940-04-01,1942-12-21,Q1371015,Q7319248
26,Q7319248,Rex Mason,1943-07-07,1946-12-19,Q5487850,Q1400226
27,Q1400226,Peter Fraser,1946-12-19,1947-12-17,Q7319248,Q1400226
,Q1400226,Peter Fraser,1947-12-17,1949-12-13,Q1400226,Q5392921
28,Q5392921,Ernest Corbett,1949-12-13,1957-09-26,Q1400226,Q637012
29,Q637012,Keith Holyoake,1957-09-26,1957-12-12,Q5392921,Q721770
30,Q721770,Walter Nash,1957-12-12,1960-12-12,Q637012,Q3418260
31,Q3418260,Ralph Hanan,1960-12-12,1969-07-24,Q721770,Q5314460
32,Q5314460,Duncan MacIntyre (New Zealand politician),1969-12-22,1972-12-08,Q3418260,Q6787614
33,Q6787614,Matiu Rata,1972-12-08,1975-12-12,Q5314460,Q5314460
,Q5314460,Duncan MacIntyre (New Zealand politician),1975-12-12,1978-12-13,Q6787614,Q4885467
34,Q4885467,Ben Couch,1978-12-13,1984-07-26,Q5314460,Q15969870
35,Q15969870,Koro Wētere,1984-07-26,1990-11-02,Q4885467,Q1396178
36,Q1396178,Winston Peters,1990-11-02,1991-10-02,Q15969870,Q5300629
37,Q5300629,Doug Kidd,1991-10-02,1993-11-06,Q1396178,Q6245566
38,Q6245566,John Luxton,1993-11-06,1996-10-12,Q5300629,Q7688619
39,Q7688619,Tau Henare,1996-10-12,1999-12-10,Q6245566,Q5302516
40,Q5302516,Dover Samuels,1999-12-10,2000-06-28,Q7688619,Q3562630
41,Q3562630,Parekura Horomia,2000-07-26,2008-12-19,Q5302516,Q186074
42,Q186074,Pita Sharples,2008-12-19,2014-10-08,Q3562630,Q4451134
43,Q4451134,Te Ururoa Flavell,2014-10-08,2017-10-26,Q186074,Q3798833
44,Q3798833,Nanaia Mahuta,2017-10-26,,Q4451134,
